column_name,importance
duration,0.3443733194415984
poutcome_success,0.16625686389585653
pdays,0.06940700418445205
age,0.059081322821199614
month_oct,0.043412213371468056
balance,0.034874283061009766
day,0.032294853713647306
previous,0.030486792757014478
poutcome_unknown,0.027076444690472476
housing_yes,0.02465217321152288
contact_unknown,0.023132063465618705
month_may,0.014430799637029295
month_mar,0.01339824335996418
campaign,0.011766680791811581
job_retired,0.011027837310063213
month_aug,0.01019599070557206
marital_married,0.009676187987627453
education_tertiary,0.006877840724932298
month_jun,0.006663548533541943
month_sep,0.004591632992486652
month_jul,0.004461851951776401
loan_yes,0.00434969543980283
job_blue-collar,0.0038748505388197674
poutcome_other,0.0035239843028613553
month_feb,0.003463002627198541
marital_single,0.0033962154715036145
job_unknown,0.003394274499501922
month_dec,0.0031376726865554845
month_nov,0.0031357331247483028
job_management,0.0028576869539824732
job_student,0.002834521164759719
job_technician,0.002822020573112132
month_jan,0.002690336531503839
job_self-employed,0.0020218045551367277
education_secondary,0.001988852871068461
contact_telephone,0.0016921502902751513
education_unknown,0.0016557861344619104
job_housemaid,0.0013332121181148715
job_services,0.0010650934278556418
job_unemployed,0.001006564315721046
job_entrepreneur,0.000911127079137491
default_yes,0.0007074666852135551
