column_name,importance
duration,0.35890907014703893
poutcome_success,0.14659779099892487
pdays,0.078705973432902
age,0.0532870332120795
month_oct,0.044459813594082444
previous,0.04267216071598073
balance,0.03231934579153668
poutcome_unknown,0.03030607666079229
day,0.025322493258760747
housing_yes,0.02297606627943571
contact_unknown,0.01947937238995324
month_mar,0.015364397726253228
month_may,0.013117659173482508
marital_married,0.01138900060948004
job_retired,0.010207504002041755
campaign,0.009734038081557225
month_aug,0.008265265918772184
job_blue-collar,0.006599553347727554
loan_yes,0.0064823207701885256
education_tertiary,0.006103299981981008
month_jun,0.005570944414105038
month_sep,0.005368618468092434
month_dec,0.003772196079586747
marital_single,0.0037677804011165914
default_yes,0.0037199674432316547
education_unknown,0.0034413474837716785
job_management,0.0033738819643955526
education_secondary,0.003253649798481797
month_jul,0.003099831215105919
month_nov,0.0026302016142386885
contact_telephone,0.002365719548566349
job_technician,0.0023509936562223343
job_services,0.0020639082323380166
job_student,0.001992438395501563
poutcome_other,0.0018226568227028572
job_unknown,0.0018051884311809164
job_housemaid,0.0014412912241072954
month_feb,0.0014258457915865925
month_jan,0.0013665688354865962
job_unemployed,0.00120102652631389
job_self-employed,0.0010094772401595068
job_entrepreneur,0.0008582303207367685
