column_name,importance
duration,0.3573597921933792
poutcome_success,0.2496472988595265
pdays,0.06183058319002674
age,0.048769746691357946
housing_yes,0.04727640097020486
poutcome_unknown,0.031429794999800725
previous,0.02904725974344531
month_mar,0.028961049004560913
contact_unknown,0.025987613170882794
month_oct,0.020873593225390938
month_sep,0.01736459921178287
month_may,0.01419173395034929
balance,0.010480002532270945
day,0.0070496012184581534
job_blue-collar,0.004970019938672297
month_dec,0.004727027204305246
campaign,0.0045702740388731174
job_student,0.004245268600197785
loan_yes,0.004076321024056358
month_aug,0.003324979425979198
marital_married,0.003152327678296541
month_jun,0.002769817177268952
month_jul,0.002698423097859266
job_retired,0.0026780116973906293
marital_single,0.002262072897780864
month_nov,0.0017461416045668051
education_tertiary,0.0016550776877354845
month_jan,0.001115486051090347
month_feb,0.0009724755970859154
education_secondary,0.0006121654567688144
education_unknown,0.0005989475920434829
job_services,0.0005439398608126368
job_management,0.0005105654313489554
job_technician,0.0005045860114937692
job_unemployed,0.00044112921251299495
poutcome_other,0.00043878245729904263
job_self-employed,0.0002865482802581267
job_entrepreneur,0.00027939578438260487
contact_telephone,0.00026071256125987275
job_housemaid,0.00012597738539023645
job_unknown,9.468303794491522e-05
default_yes,6.97742458886518e-05
